logTime,군서배수지_유량,hour,weekday,is_holiday,is_weekend
2018-01-21 07:00:00,47,7,6,False,True
2018-01-21 08:00:00,57,8,6,False,True
2018-01-21 09:00:00,56,9,6,False,True
2018-01-21 10:00:00,51,10,6,False,True
2018-01-21 11:00:00,49,11,6,False,True
2018-01-21 12:00:00,53,12,6,False,True
2018-01-21 13:00:00,47,13,6,False,True
2018-01-21 14:00:00,46,14,6,False,True
2018-01-21 15:00:00,46,15,6,False,True
2018-01-21 16:00:00,50,16,6,False,True
2018-01-21 17:00:00,54,17,6,False,True
2018-01-21 18:00:00,51,18,6,False,True
2018-01-21 19:00:00,49,19,6,False,True
2018-01-21 20:00:00,46,20,6,False,True
2018-01-21 21:00:00,41,21,6,False,True
2018-01-21 22:00:00,44,22,6,False,True
2018-01-21 23:00:00,38,23,6,False,True
2018-01-22 00:00:00,34,0,0,False,False
2018-01-22 01:00:00,33,1,0,False,False
2018-01-22 02:00:00,32,2,0,False,False
2018-01-22 03:00:00,32,3,0,False,False
2018-01-22 04:00:00,33,4,0,False,False
2018-01-22 05:00:00,36,5,0,False,False
2018-01-22 06:00:00,41,6,0,False,False
2018-01-22 07:00:00,58,7,0,False,False
2018-01-22 08:00:00,66,8,0,False,False
2018-01-22 09:00:00,68,9,0,False,False
2018-01-22 10:00:00,68,10,0,False,False
2018-01-22 11:00:00,61,11,0,False,False
2018-01-22 12:00:00,61,12,0,False,False
2018-01-22 13:00:00,53,13,0,False,False
2018-01-22 14:00:00,59,14,0,False,False
2018-01-22 15:00:00,59,15,0,False,False
2018-01-22 16:00:00,70,16,0,False,False
2018-01-22 17:00:00,56,17,0,False,False
2018-01-22 18:00:00,56,18,0,False,False
2018-01-22 19:00:00,50,19,0,False,False
2018-01-22 20:00:00,46,20,0,False,False
2018-01-22 21:00:00,44,21,0,False,False
2018-01-22 22:00:00,43,22,0,False,False
2018-01-22 23:00:00,36,23,0,False,False
2018-01-23 00:00:00,35,0,1,False,False
2018-01-23 01:00:00,34,1,1,False,False
2018-01-23 02:00:00,33,2,1,False,False
2018-01-23 03:00:00,33,3,1,False,False
2018-01-23 04:00:00,33,4,1,False,False
2018-01-23 05:00:00,35,5,1,False,False
2018-01-23 06:00:00,42,6,1,False,False
2018-01-23 07:00:00,59,7,1,False,False
2018-01-23 08:00:00,62,8,1,False,False
2018-01-23 09:00:00,61,9,1,False,False
2018-01-23 10:00:00,59,10,1,False,False
2018-01-23 11:00:00,69,11,1,False,False
2018-01-23 12:00:00,59,12,1,False,False
2018-01-23 13:00:00,55,13,1,False,False
2018-01-23 14:00:00,55,14,1,False,False
2018-01-23 15:00:00,57,15,1,False,False
2018-01-23 16:00:00,55,16,1,False,False
2018-01-23 17:00:00,55,17,1,False,False
2018-01-23 18:00:00,52,18,1,False,False
2018-01-23 19:00:00,47,19,1,False,False
2018-01-23 20:00:00,45,20,1,False,False
2018-01-23 21:00:00,46,21,1,False,False
2018-01-23 22:00:00,46,22,1,False,False
2018-01-23 23:00:00,46,23,1,False,False
2018-01-24 00:00:00,39,0,2,False,False
