logTime,경기동남권_광역 성남 공도(배) 유출 유량 적산차,경기동남권_광역 성남 원곡(배) 유출 유량 적산차,hour,weekday,is_weekend,is_holiday
2020-01-15 00:00:00,412.0,353.0,0,2,False,False
2020-01-15 01:00:00,276.0,246.0,1,2,False,False
2020-01-15 02:00:00,228.0,160.0,2,2,False,False
2020-01-15 03:00:00,2.0,156.0,3,2,False,False
2020-01-15 04:00:00,0.0,150.0,4,2,False,False
2020-01-15 05:00:00,88.0,151.0,5,2,False,False
2020-01-15 06:00:00,200.0,180.0,6,2,False,False
2020-01-15 07:00:00,150.0,300.0,7,2,False,False
2020-01-15 08:00:00,112.0,529.0,8,2,False,False
2020-01-15 09:00:00,158.0,512.0,9,2,False,False
2020-01-15 10:00:00,66.0,433.0,10,2,False,False
2020-01-15 11:00:00,80.0,350.0,11,2,False,False
2020-01-15 12:00:00,112.0,380.0,12,2,False,False
2020-01-15 13:00:00,176.0,431.0,13,2,False,False
2020-01-15 14:00:00,332.0,420.0,14,2,False,False
2020-01-15 15:00:00,172.0,318.0,15,2,False,False
2020-01-15 16:00:00,90.0,323.0,16,2,False,False
2020-01-15 17:00:00,218.0,402.0,17,2,False,False
2020-01-15 18:00:00,272.0,576.0,18,2,False,False
2020-01-15 19:00:00,312.0,440.0,19,2,False,False
2020-01-15 20:00:00,88.0,544.0,20,2,False,False
2020-01-15 21:00:00,244.0,494.0,21,2,False,False
2020-01-15 22:00:00,360.0,317.0,22,2,False,False
2020-01-15 23:00:00,416.0,337.0,23,2,False,False
2020-01-16 00:00:00,414.0,287.0,0,3,False,False
2020-01-16 01:00:00,244.0,194.0,1,3,False,False
2020-01-16 02:00:00,118.0,195.0,2,3,False,False
2020-01-16 03:00:00,14.0,162.0,3,3,False,False
2020-01-16 04:00:00,0.0,167.0,4,3,False,False
2020-01-16 05:00:00,0.0,148.0,5,3,False,False
2020-01-16 06:00:00,28.0,233.0,6,3,False,False
2020-01-16 07:00:00,54.0,239.0,7,3,False,False
2020-01-16 08:00:00,158.0,368.0,8,3,False,False
2020-01-16 09:00:00,250.0,518.0,9,3,False,False
2020-01-16 10:00:00,248.0,593.0,10,3,False,False
2020-01-16 11:00:00,224.0,692.0,11,3,False,False
2020-01-16 12:00:00,144.0,382.0,12,3,False,False
2020-01-16 13:00:00,128.0,407.0,13,3,False,False
2020-01-16 14:00:00,180.0,361.0,14,3,False,False
2020-01-16 15:00:00,114.0,312.0,15,3,False,False
2020-01-16 16:00:00,290.0,84.0,16,3,False,False
2020-01-16 17:00:00,76.0,0.0,17,3,False,False
2020-01-16 18:00:00,86.0,0.0,18,3,False,False
2020-01-16 19:00:00,138.0,499.0,19,3,False,False
2020-01-16 20:00:00,216.0,387.0,20,3,False,False
2020-01-16 21:00:00,366.0,381.0,21,3,False,False
2020-01-16 22:00:00,430.0,629.0,22,3,False,False
2020-01-16 23:00:00,458.0,520.0,23,3,False,False
2020-01-17 00:00:00,298.0,381.0,0,4,False,False
2020-01-17 01:00:00,192.0,200.0,1,4,False,False
2020-01-17 02:00:00,132.0,169.0,2,4,False,False
2020-01-17 03:00:00,236.0,184.0,3,4,False,False
2020-01-17 04:00:00,44.0,150.0,4,4,False,False
2020-01-17 05:00:00,36.0,170.0,5,4,False,False
2020-01-17 06:00:00,80.0,182.0,6,4,False,False
2020-01-17 07:00:00,58.0,284.0,7,4,False,False
2020-01-17 08:00:00,62.0,320.0,8,4,False,False
2020-01-17 09:00:00,72.0,379.0,9,4,False,False
2020-01-17 10:00:00,68.0,558.0,10,4,False,False
2020-01-17 11:00:00,212.0,463.0,11,4,False,False
2020-01-17 12:00:00,128.0,385.0,12,4,False,False
2020-01-17 13:00:00,232.0,374.0,13,4,False,False
2020-01-17 14:00:00,344.0,590.0,14,4,False,False
2020-01-17 15:00:00,264.0,344.0,15,4,False,False
2020-01-17 16:00:00,88.0,364.0,16,4,False,False
2020-01-17 17:00:00,84.0,432.0,17,4,False,False
2020-01-17 18:00:00,176.0,435.0,18,4,False,False
2020-01-17 19:00:00,80.0,527.0,19,4,False,False
2020-01-17 20:00:00,116.0,378.0,20,4,False,False
2020-01-17 21:00:00,314.0,322.0,21,4,False,False
2020-01-17 22:00:00,474.0,335.0,22,4,False,False
2020-01-17 23:00:00,420.0,371.0,23,4,False,False
2020-01-18 00:00:00,324.0,308.0,0,5,True,False
2020-01-18 01:00:00,292.0,498.0,1,5,True,False
2020-01-18 02:00:00,232.0,228.0,2,5,True,False
2020-01-18 03:00:00,24.0,169.0,3,5,True,False
2020-01-18 04:00:00,0.0,185.0,4,5,True,False
2020-01-18 05:00:00,0.0,166.0,5,5,True,False
2020-01-18 06:00:00,0.0,222.0,6,5,True,False
2020-01-18 07:00:00,40.0,204.0,7,5,True,False
2020-01-18 08:00:00,52.0,329.0,8,5,True,False
2020-01-18 09:00:00,44.0,411.0,9,5,True,False
2020-01-18 10:00:00,188.0,502.0,10,5,True,False
2020-01-18 11:00:00,192.0,577.0,11,5,True,False
2020-01-18 12:00:00,286.0,545.0,12,5,True,False
2020-01-18 13:00:00,302.0,366.0,13,5,True,False
2020-01-18 14:00:00,222.0,541.0,14,5,True,False
2020-01-18 15:00:00,230.0,414.0,15,5,True,False
2020-01-18 16:00:00,220.0,321.0,16,5,True,False
2020-01-18 17:00:00,158.0,403.0,17,5,True,False
2020-01-18 18:00:00,138.0,412.0,18,5,True,False
2020-01-18 19:00:00,98.0,346.0,19,5,True,False
2020-01-18 20:00:00,322.0,404.0,20,5,True,False
2020-01-18 21:00:00,344.0,461.0,21,5,True,False
2020-01-18 22:00:00,464.0,342.0,22,5,True,False
2020-01-18 23:00:00,372.0,329.0,23,5,True,False
2020-01-19 00:00:00,268.0,399.0,0,6,True,False
2020-01-19 01:00:00,160.0,386.0,1,6,True,False
2020-01-19 02:00:00,22.0,153.0,2,6,True,False
2020-01-19 03:00:00,136.0,188.0,3,6,True,False
2020-01-19 04:00:00,178.0,138.0,4,6,True,False
2020-01-19 05:00:00,52.0,148.0,5,6,True,False
2020-01-19 06:00:00,8.0,176.0,6,6,True,False
2020-01-19 07:00:00,12.0,184.0,7,6,True,False
2020-01-19 08:00:00,64.0,231.0,8,6,True,False
2020-01-19 09:00:00,52.0,323.0,9,6,True,False
2020-01-19 10:00:00,64.0,375.0,10,6,True,False
2020-01-19 11:00:00,108.0,515.0,11,6,True,False
2020-01-19 12:00:00,144.0,381.0,12,6,True,False
2020-01-19 13:00:00,256.0,438.0,13,6,True,False
2020-01-19 14:00:00,356.0,544.0,14,6,True,False
2020-01-19 15:00:00,324.0,605.0,15,6,True,False
2020-01-19 16:00:00,208.0,444.0,16,6,True,False
2020-01-19 17:00:00,326.0,387.0,17,6,True,False
2020-01-19 18:00:00,242.0,359.0,18,6,True,False
2020-01-19 19:00:00,318.0,410.0,19,6,True,False
2020-01-19 20:00:00,350.0,342.0,20,6,True,False
2020-01-19 21:00:00,204.0,354.0,21,6,True,False
